"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"284","Unincorporated - San Jose Hills",84,415,412,3,15,14,730,3610,3543,20221
"285","Unincorporated - San Pasqual",1,49,24,0,0,0,46,2260,2394,2035
"286","Unincorporated - Santa Catalina Island",2,749,2700,0,0,0,74,27715,31688,267
"287","Unincorporated - Santa Monica Mountains",26,140,149,1,5,2,1222,6562,6837,18621
"288","Unincorporated - Saugus",4,2581,2844,0,0,0,116,74839,85249,155
"289","Unincorporated - South Antelope Valley",1,220,256,0,0,0,9,1978,1675,455
"290","Unincorporated - South El Monte",9,501,470,0,0,0,90,5014,4843,1795
"291","Unincorporated - South San Gabriel",42,475,424,4,45,29,563,6363,5406,8848
"292","Unincorporated - South Whittier",188,317,309,8,14,13,1894,3198,3152,59222
"293","Unincorporated - Stevenson Ranch",35,167,170,0,0,0,1029,4908,4813,20966
"294","Unincorporated - Sun Village",21,348,357,0,0,0,204,3380,3343,6036
"295","Unincorporated - Sunrise Village",5,386,409,0,0,0,44,3395,3322,1296
"296","Unincorporated - Twin Lakes/Oat Mountain",4,241,280,1,60,78,128,7720,6831,1658
"297","Unincorporated - Val Verde",27,816,748,0,0,0,535,16168,15580,3309
"298","Unincorporated - Valencia",9,293,719,1,33,258,131,4264,5364,3072
"299","Unincorporated - Valinda",108,462,448,1,4,5,906,3877,3819,23371
"300","Unincorporated - View Park/Windsor Hills",37,318,296,2,17,7,1141,9807,9075,11635
"301","Unincorporated - Walnut Park",147,911,909,3,19,17,691,4280,4214,16143
"302","Unincorporated - West Antelope Valley",2,132,211,0,0,0,28,1853,1530,1511
"303","Unincorporated - West Carson",111,503,421,10,45,27,1601,7249,6440,22086
"304","Unincorporated - West LA",24,2521,1895,2,210,67,402,42227,32518,952
"305","Unincorporated - West Puente Valley",48,488,486,0,0,0,401,4077,3931,9835
"306","Unincorporated - West Rancho Dominguez",10,736,743,1,74,63,77,5666,5278,1359
"307","Unincorporated - West Whittier/Los Nietos",190,706,707,5,19,19,1042,3870,3861,26925
"308","Unincorporated - White Fence Farms",6,163,118,0,0,0,136,3693,3865,3683
"309","Unincorporated - Whittier",15,396,390,0,0,0,138,3647,3510,3784
"310","Unincorporated - Willowbrook",288,825,841,6,17,25,2410,6903,7082,34913
"311","Unincorporated - Wiseburn",19,315,279,0,0,0,393,6521,6383,6027
"312","City of Avalon",0,0,0,0,0,0,8,207,183,3869
"313","Los Angeles - Brookside",0,0,0,0,0,0,39,6713,7643,581
